{
  solved=true,
  reachedEps=9.90676345090605e-06,
  totalIterations=     798,
  totalTimeSeconds=    0.82829594000000,
}

       0 ; 1.00000000000000e+00
       1 ; 7.91987274103246e-01
       2 ; 9.71337497115483e-01
       3 ; 3.92608116975200e-01
       4 ; 3.19836328015442e-01
       5 ; 2.90674210732063e-01
       6 ; 7.76731297566615e-01
       7 ; 8.36367406499620e+00
       8 ; 1.76022910557466e-01
       9 ; 1.98352812704603e-01
      10 ; 1.90671722438836e-01
      11 ; 1.60121790725956e-01
      12 ; 1.73152189535405e-01
      13 ; 1.53665400344133e-01
      14 ; 1.51348141142236e-01
      15 ; 1.64066877297788e-01
      16 ; 1.24274133175289e-01
      17 ; 1.06278931290395e-01
      18 ; 9.95272799763677e-02
      19 ; 1.82923484895629e-01
      20 ; 1.84554572208986e-01
      21 ; 2.89178012212729e-01
      22 ; 2.03085317064707e-01
      23 ; 1.94943395923645e-01
      24 ; 1.84699191067311e-01
      25 ; 4.29151403394709e-01
      26 ; 2.24440363032853e-01
      27 ; 1.85127335857947e-01
      28 ; 5.56409207730402e-02
      29 ; 5.85807767544561e-02
      30 ; 6.74031521842306e-02
      31 ; 8.62720212272176e-02
      32 ; 6.85103136317608e-02
      33 ; 5.76905045449057e-02
      34 ; 5.19781925591907e-02
      35 ; 4.45776731614858e-02
      36 ; 4.74219183035888e-02
      37 ; 6.00827815365059e-02
      38 ; 4.35523677538379e-02
      39 ; 3.32763803440996e-02
      40 ; 3.41480124529860e-02
      41 ; 2.86844187677999e-02
      42 ; 2.80697632535523e-02
      43 ; 2.56047408900792e-02
      44 ; 2.76779328910400e-02
      45 ; 3.60003486527212e-02
      46 ; 4.51812225903569e-02
      47 ; 4.14724081112624e-02
      48 ; 3.27409009237884e-02
      49 ; 1.60368625033745e-01
      50 ; 2.30254776168607e-02
      51 ; 1.99497640118230e-02
      52 ; 1.82143830320343e-02
      53 ; 1.53637563949817e-02
      54 ; 1.50328321897564e-02
      55 ; 1.39881607722567e-02
      56 ; 1.34484334556773e-02
      57 ; 1.27743166077547e-02
      58 ; 1.34966129254338e-02
      59 ; 1.21480324738334e-02
      60 ; 1.34681954329072e-02
      61 ; 1.74536893689928e-02
      62 ; 2.73130691267090e-02
      63 ; 2.65693589634565e-02
      64 ; 2.71678265612006e-02
      65 ; 3.05070241366750e-02
      66 ; 2.99547122861955e-02
      67 ; 4.81947332398658e-02
      68 ; 3.49515576127761e-02
      69 ; 3.26145717521355e-02
      70 ; 3.06600128646982e-02
      71 ; 2.73747790259965e-01
      72 ; 7.47507098134941e-02
      73 ; 4.73860727575439e-02
      74 ; 4.81735387566055e-02
      75 ; 6.47345275566791e-02
      76 ; 6.67975121169996e-02
      77 ; 6.72127100920005e-02
      78 ; 5.07986785363128e-02
      79 ; 5.88810688674353e-02
      80 ; 1.03460337932093e-01
      81 ; 2.66540372393782e-02
      82 ; 2.70980622490568e-02
      83 ; 2.69502452482438e-02
      84 ; 2.37503025799037e-02
      85 ; 2.47953173160619e-02
      86 ; 3.37505663605689e-02
      87 ; 1.50596437803147e-02
      88 ; 1.39286108898321e-02
      89 ; 1.47499852026823e-02
      90 ; 1.20755001743140e-02
      91 ; 1.02718930432862e-02
      92 ; 9.73207538310989e-03
      93 ; 2.68167494070214e-02
      94 ; 3.41538612549991e-02
      95 ; 9.20183366541343e-03
      96 ; 8.59790305791977e-03
      97 ; 9.75762799088082e-03
      98 ; 1.34116363470925e-02
      99 ; 7.00908539500504e-02
     100 ; 2.34324535051856e-02
     101 ; 1.50026772653591e-02
     102 ; 1.22116032974503e-02
     103 ; 3.91344589815289e-02
     104 ; 3.43885382430053e-02
     105 ; 1.78577563031884e-02
     106 ; 2.48317075702527e-02
     107 ; 2.42459269657338e-02
     108 ; 3.76560761421547e-02
     109 ; 5.06306609518767e-02
     110 ; 4.91569678667338e-02
     111 ; 2.10654542461913e-02
     112 ; 3.51117887958901e-02
     113 ; 1.61230785344992e-02
     114 ; 1.59697185317776e-02
     115 ; 9.56149463324612e-03
     116 ; 9.12596367609957e-03
     117 ; 9.35655615508677e-03
     118 ; 1.14931585169597e-02
     119 ; 1.88176979073876e-02
     120 ; 1.00233513395437e-02
     121 ; 6.56630156775419e-03
     122 ; 5.96910330751309e-03
     123 ; 5.15259439444616e-03
     124 ; 7.80672241835934e-03
     125 ; 3.47427011326810e-03
     126 ; 4.27904334606272e-03
     127 ; 4.79718432890412e-03
     128 ; 3.52575009837495e-03
     129 ; 4.17907987147475e-03
     130 ; 3.99130276591702e-03
     131 ; 3.42791050576267e-03
     132 ; 3.39922604429302e-03
     133 ; 3.31985240557379e-03
     134 ; 2.76568071098077e-03
     135 ; 3.17045666908194e-03
     136 ; 2.90094301187593e-03
     137 ; 2.71973803589605e-03
     138 ; 2.82854760565312e-03
     139 ; 3.83601459665268e-03
     140 ; 1.51270630139238e-02
     141 ; 1.82920723616392e-02
     142 ; 1.25280133316603e-02
     143 ; 8.22083398588048e-03
     144 ; 5.81467597448513e-03
     145 ; 7.61366561640079e-03
     146 ; 6.80167844536973e-03
     147 ; 8.73479266953016e-03
     148 ; 5.78183967478180e-03
     149 ; 6.05478446710394e-03
     150 ; 7.77003606978363e-03
     151 ; 8.17954124153211e-03
     152 ; 4.44841773387789e-03
     153 ; 3.73763038040895e-03
     154 ; 3.31970700969393e-03
     155 ; 2.29935212315555e-03
     156 ; 2.31009989269724e-03
     157 ; 2.52755387642597e-03
     158 ; 2.88052066564868e-03
     159 ; 2.79637596675268e-03
     160 ; 2.81889992009343e-03
